signal#,timestamp,price,buy/sell,fPrice,risk
1,2025-02-14 09:37:02,6116.98,Buy,610.21,low
2,2025-02-14 09:59:00,6120.75,Sell,610.465,low
3,2025-02-14 10:03:02,6117.86,Buy,610.3701,low
4,2025-02-14 10:14:01,6124.56,Sell,610.68,low
5,2025-02-14 10:34:02,6118.21,Buy,610.17,low
6,2025-02-14 11:08:03,6122.42,Sell,610.81,low
7,2025-02-14 11:18:01,6119.05,Buy,610.11,low
8,2025-02-14 11:22:01,6118.87,Buy,609.84,low
9,2025-02-14 11:49:03,6114.72,Buy,609.7,low
10,2025-02-14 12:09:01,6114.58,Buy,609.64,low
11,2025-02-14 13:41:02,6120.96,Sell,610.46,low
12,2025-02-14 14:01:01,6121.0,Sell,610.46,low
13,2025-02-14 14:13:01,6122.84,Sell,610.675,low
14,2025-02-14 14:29:02,6117.92,Buy,610.13,medium
15,2025-02-14 15:07:32,6115.73,Buy,609.93,medium
16,2025-02-14 15:31:00,6113.12,Buy,609.78,low
1,2025-02-18 09:41:49,6121.02,Buy,610.6299,low
2,2025-02-18 09:47:48,6116.28,Buy,610.0399,low
3,2025-02-18 10:26:51,6114.11,Buy,609.6,low
4,2025-02-18 11:03:50,6121.66,Sell,610.51,medium
5,2025-02-18 11:25:50,6115.86,Buy,609.99,low
6,2025-02-18 11:57:49,6121.35,Sell,610.515,low
7,2025-02-18 12:21:49,6114.54,Buy,609.81,low
8,2025-02-18 12:51:49,6119.48,Sell,610.51,low
9,2025-02-18 13:07:50,6120.74,Sell,610.5,low
10,2025-02-18 13:19:51,6115.14,Buy,609.86,low
11,2025-02-18 13:35:49,6112.61,Buy,609.71,low
12,2025-02-18 14:04:51,6113.85,Buy,609.66,low
13,2025-02-18 14:07:49,6113.84,Buy,608.865,low
14,2025-02-18 14:08:49,6113.45,Buy,608.88,low
15,2025-02-18 15:37:49,6112.94,Buy,609.71,high
16,2025-02-18 15:55:48,6120.22,Sell,610.46,low
1,2025-02-19 09:52:46,6113.31,Buy,609.94,low
2,2025-02-19 10:02:47,6116.45,Sell,609.81,low
3,2025-02-19 10:19:47,6116.34,Buy,609.9401,low
4,2025-02-19 10:21:46,6113.81,Buy,609.87,low
5,2025-02-19 10:30:47,6117.0,Sell,610.305,low
6,2025-02-19 10:32:47,6122.0,Sell,610.46,low
7,2025-02-19 11:05:46,6121.41,Sell,610.69,low
8,2025-02-19 11:20:46,6126.41,Sell,611.03,low
9,2025-02-19 11:45:46,6130.0,Sell,611.6801,low
10,2025-02-19 12:01:47,6130.0,Sell,611.73,low
11,2025-02-19 12:07:46,6133.89,Sell,611.77,low
12,2025-02-19 12:21:47,6129.62,Buy,611.32,high
13,2025-02-19 12:31:47,6133.85,Sell,610.945,low
14,2025-02-19 12:44:48,6129.02,Sell,611.28,low
15,2025-02-19 12:54:49,6133.21,Sell,611.72,low
16,2025-02-19 13:22:46,6131.15,Sell,611.6,low
17,2025-02-19 13:49:49,6133.12,Sell,611.725,low
18,2025-02-19 13:54:48,6130.56,Buy,611.59,high
19,2025-02-19 14:14:48,6135.0,Sell,612.58,low
20,2025-02-19 14:36:47,6143.6,Sell,612.855,low
21,2025-02-19 14:52:47,6145.0,Sell,613.04,low
22,2025-02-19 15:09:48,6141.01,Sell,612.4802,low
23,2025-02-19 15:13:48,6145.0,Sell,612.56,low
24,2025-02-19 15:28:46,6137.22,Buy,612.0,high
25,2025-02-19 15:56:46,6141.54,Sell,612.73,low
1,2025-02-20 09:36:31,6127.57,Buy,611.34,low
2,2025-02-20 09:45:30,6120.14,Buy,610.5,low
3,2025-02-20 09:57:30,6106.56,Buy,609.06,low
4,2025-02-20 10:15:30,6101.58,Buy,608.78,high
5,2025-02-20 10:51:31,6091.5,Buy,607.6698,low
6,2025-02-20 11:26:30,6094.84,Buy,607.89,high
7,2025-02-20 11:49:32,6091.96,Buy,607.59,low
8,2025-02-20 13:09:32,6095.88,Buy,608.17,medium
