trade #,timestamp,buy/sell,fPrice,position,remaining capital,PnL
,2025-02-14 09:37:02,Buy,610.21,1,9389.79,
1,2025-02-14 09:59:00,Sell,610.465,0,10000.26,0.25
,2025-02-14 10:03:02,Buy,610.3701,1,9389.88,
2,2025-02-14 10:14:01,Sell,610.68,0,10000.56,0.31
,2025-02-14 10:34:02,Buy,610.17,1,9390.39,
3,2025-02-14 11:08:03,Sell,610.81,0,10001.2,0.64
,2025-02-14 11:18:01,Buy,610.11,1,9391.09,
,2025-02-14 11:22:01,Buy,609.84,2,8781.25,
,2025-02-14 11:49:03,Buy,609.7,3,8171.55,
,2025-02-14 12:09:01,Buy,609.64,4,7561.91,
4,2025-02-14 13:41:02,Sell,610.46,0,10003.75,2.55
,2025-02-14 15:31:00,Buy,609.78,1,9393.97,
,2025-02-18 09:41:49,Buy,610.6299,2,8783.34,
,2025-02-18 09:47:48,Buy,610.0399,3,8173.31,
,2025-02-18 10:26:51,Buy,609.6,4,7563.71,
5,2025-02-18 11:03:50,Sell,610.51,0,10005.75,1.99
,2025-02-18 11:25:50,Buy,609.99,1,9395.76,
6,2025-02-18 11:57:49,Sell,610.515,0,10006.27,0.52
,2025-02-18 12:21:49,Buy,609.81,1,9396.46,
7,2025-02-18 12:51:49,Sell,610.51,0,10006.97,0.7
,2025-02-18 13:19:51,Buy,609.86,1,9397.11,
,2025-02-18 13:35:49,Buy,609.71,2,8787.4,
,2025-02-18 14:04:51,Buy,609.66,3,8177.74,
,2025-02-18 14:07:49,Buy,608.865,4,7568.88,
,2025-02-18 14:08:49,Buy,608.88,5,6960.0,
8,2025-02-18 15:55:48,Sell,610.46,0,10012.3,5.32
,2025-02-19 09:52:46,Buy,609.94,1,9402.36,
9,2025-02-19 10:02:47,Sell,609.81,0,10012.17,-0.13
,2025-02-19 10:19:47,Buy,609.9401,1,9402.22,
,2025-02-19 10:21:46,Buy,609.87,2,8792.35,
10,2025-02-19 10:30:47,Sell,610.305,0,10012.96,0.8
,2025-02-20 09:36:31,Buy,611.34,1,9401.62,
,2025-02-20 09:45:30,Buy,610.5,2,8791.12,
,2025-02-20 09:57:30,Buy,609.06,3,8182.06,
,2025-02-20 10:51:31,Buy,607.6698,4,7574.4,
,2025-02-20 11:49:32,Buy,607.59,5,6966.81,
,2025-02-21 09:45:53,Buy,609.32,6,6357.49,
,2025-02-21 09:50:54,Buy,608.4725,7,5749.01,
,2025-02-21 10:08:54,Buy,608.1701,8,5140.84,
,2025-02-21 10:27:54,Buy,606.66,9,4534.18,
,2025-02-21 11:07:54,Buy,606.76,10,3927.42,
,2025-02-21 11:55:54,Buy,606.6,11,3320.82,
,2025-02-21 12:19:57,Buy,605.7,12,2715.12,
,2025-02-21 12:48:55,Buy,604.81,13,2110.31,
,2025-02-21 12:57:55,Buy,603.78,14,1506.53,
,2025-02-21 13:34:57,Buy,602.05,15,904.48,
,2025-02-21 13:54:56,Buy,602.21,16,302.27,
11,2025-02-24 12:21:41,Sell,601.3151,0,9923.31,-89.65
,2025-02-25 09:51:47,Buy,595.3556,1,9327.96,
,2025-02-25 10:22:47,Buy,592.02,2,8735.94,
,2025-02-25 11:27:48,Buy,590.92,3,8145.02,
12,2025-02-25 15:23:47,Sell,596.38,0,9934.16,10.84
,2025-02-26 09:43:47,Buy,595.75,1,9338.41,
,2025-02-26 09:50:48,Buy,597.13,2,8741.28,
13,2025-02-26 10:19:49,Sell,599.1301,0,9939.54,5.38
,2025-02-26 13:00:49,Buy,595.6099,1,9343.93,
,2025-02-26 13:35:50,Buy,594.27,2,8749.66,
,2025-02-26 13:51:49,Buy,593.28,3,8156.38,
,2025-02-26 14:58:48,Buy,592.6878,4,7563.69,
14,2025-02-27 09:37:22,Sell,597.555,0,9953.91,14.37
,2025-02-27 10:02:22,Buy,591.6481,1,9362.26,
,2025-02-27 14:25:22,Buy,591.665,2,8770.6,
,2025-02-27 15:07:23,Buy,587.94,3,8182.66,
,2025-02-27 15:30:21,Buy,586.84,4,7595.82,
,2025-02-27 15:55:21,Buy,585.27,5,7010.55,
15,2025-02-28 09:40:53,Sell,584.72,0,9934.15,-19.76
,2025-02-28 13:17:54,Buy,583.33,1,9350.82,
16,2025-02-28 15:01:55,Sell,588.14,0,9938.96,4.81
,2025-03-03 09:40:51,Buy,595.355,1,9343.6,
,2025-03-03 09:59:52,Buy,593.05,2,8750.55,
,2025-03-03 12:58:52,Buy,591.71,3,8158.84,
,2025-03-03 13:19:54,Buy,589.71,4,7569.13,
,2025-03-03 13:38:52,Buy,587.67,5,6981.46,
,2025-03-03 14:30:52,Buy,588.97,6,6392.49,
,2025-03-03 14:52:52,Buy,586.83,7,5805.66,
,2025-03-03 15:04:54,Buy,584.36,8,5221.3,
,2025-03-04 09:36:24,Buy,579.4799,9,4641.82,
,2025-03-04 09:57:25,Buy,577.11,10,4064.71,
,2025-03-04 10:09:25,Buy,574.59,11,3490.12,
,2025-03-04 11:10:24,Buy,572.83,12,2917.29,
,2025-03-04 11:28:24,Buy,572.701,13,2344.59,
17,2025-03-04 13:54:27,Sell,579.7,0,9880.69,-58.27
,2025-03-05 11:11:58,Buy,574.16,1,9306.53,
,2025-03-05 11:27:58,Buy,573.95,2,8732.58,
18,2025-03-05 12:37:58,Sell,578.935,0,9890.45,9.76
,2025-03-06 09:37:35,Buy,574.66,1,9315.79,
19,2025-03-06 10:22:37,Sell,578.7,0,9894.49,4.04
,2025-03-06 12:02:36,Buy,574.23,1,9320.26,
,2025-03-06 12:25:36,Buy,573.175,2,8747.09,
,2025-03-06 12:54:38,Buy,571.87,3,8175.22,
,2025-03-06 14:24:37,Buy,571.245,4,7603.97,
20,2025-03-07 09:58:46,Sell,574.24,0,9900.93,6.44
,2025-03-07 11:21:46,Buy,568.98,1,9331.95,
,2025-03-07 11:52:46,Buy,565.83,2,8766.12,
21,2025-03-07 13:21:48,Sell,573.25,0,9912.62,11.69
,2025-03-10 12:06:29,Buy,563.86,1,9348.76,
,2025-03-10 12:08:29,Buy,563.47,2,8785.29,
,2025-03-10 12:44:30,Buy,562.975,3,8222.32,
,2025-03-10 13:52:29,Buy,560.37,4,7661.95,
,2025-03-10 14:08:29,Buy,559.67,5,7102.28,
,2025-03-10 14:56:28,Buy,557.54,6,6544.74,
,2025-03-11 09:36:25,Buy,559.66,7,5985.08,
,2025-03-11 10:04:27,Buy,556.995,8,5428.08,
,2025-03-11 10:41:26,Buy,554.1,9,4873.98,
,2025-03-11 12:58:27,Buy,554.13,10,4319.85,
,2025-03-11 13:23:26,Buy,552.25,11,3767.6,
22,2025-03-11 14:44:29,Sell,560.72,0,9935.52,22.9
,2025-03-12 10:25:50,Buy,558.47,1,9377.05,
23,2025-03-12 10:28:50,Sell,559.38,0,9936.43,0.91
,2025-03-12 10:56:50,Buy,556.45,1,9379.98,
24,2025-03-12 11:49:51,Sell,558.62,0,9938.6,2.17
,2025-03-13 11:36:47,Buy,553.15,1,9385.45,
,2025-03-13 11:54:49,Buy,552.95,2,8832.5,
,2025-03-13 12:58:47,Buy,552.31,3,8280.19,
,2025-03-13 13:14:48,Buy,551.55,4,7728.64,
,2025-03-13 13:38:47,Buy,550.355,5,7178.29,
25,2025-03-14 09:50:23,Sell,559.2876,0,9974.73,36.12
,2025-03-17 11:35:10,Buy,563.22,1,9411.51,
26,2025-03-17 13:27:09,Sell,565.94,0,9977.45,2.72
,2025-03-18 10:15:47,Buy,560.49,1,9416.96,
,2025-03-18 11:57:47,Buy,559.1,2,8857.86,
,2025-03-18 12:53:47,Buy,559.8201,3,8298.04,
,2025-03-18 15:48:47,Buy,559.95,4,7738.09,
27,2025-03-19 09:48:47,Sell,563.2,0,9990.89,13.44
,2025-03-20 13:28:57,Buy,564.76,1,9426.13,
,2025-03-20 15:30:59,Buy,565.28,2,8860.85,
28,2025-03-21 09:43:31,Sell,560.09,0,9981.03,-9.86
,2025-03-21 10:04:33,Buy,559.4,1,9421.63,
29,2025-03-21 10:41:32,Sell,559.31,0,9980.94,-0.09
,2025-03-25 09:44:51,Buy,574.78,1,9406.16,
,2025-03-25 10:05:49,Buy,574.51,2,8831.65,
30,2025-03-25 10:23:47,Sell,575.41,0,9982.47,1.53
,2025-03-25 12:07:48,Buy,574.6801,1,9407.78,
,2025-03-25 12:22:48,Buy,574.78,2,8833.0,
,2025-03-25 12:28:48,Buy,574.57,3,8258.43,
,2025-03-25 12:49:51,Buy,574.65,4,7683.78,
,2025-03-25 13:21:48,Buy,574.6,5,7109.18,
,2025-03-25 13:48:48,Buy,574.35,6,6534.83,
,2025-03-25 14:07:49,Buy,573.9,7,5960.93,
,2025-03-25 15:04:50,Buy,574.335,8,5386.6,
,2025-03-25 15:31:51,Buy,574.47,9,4812.13,
,2025-03-25 15:36:49,Buy,574.39,10,4237.74,
31,2025-03-26 09:39:53,Sell,575.81,0,9995.84,13.37
,2025-03-26 09:59:53,Buy,573.63,1,9422.21,
,2025-03-26 10:18:51,Buy,573.65,2,8848.56,
,2025-03-26 10:53:51,Buy,573.785,3,8274.77,
,2025-03-26 11:29:54,Buy,572.34,4,7702.43,
,2025-03-26 11:47:51,Buy,572.1,5,7130.33,
,2025-03-26 12:27:51,Buy,570.8099,6,6559.52,
,2025-03-26 12:53:51,Buy,570.0632,7,5989.46,
,2025-03-26 13:02:53,Buy,569.92,8,5419.54,
,2025-03-26 13:32:51,Buy,568.38,9,4851.16,
,2025-03-26 13:53:52,Buy,568.33,10,4282.83,
,2025-03-26 14:48:52,Buy,567.34,11,3715.49,
,2025-03-26 15:06:51,Buy,567.55,12,3147.94,
,2025-03-26 15:29:54,Buy,567.7,13,2580.24,
,2025-03-27 09:39:02,Buy,565.385,14,2014.86,
32,2025-03-27 10:00:05,Sell,568.81,0,9978.2,-17.64
,2025-03-28 10:14:03,Buy,561.38,1,9416.82,
,2025-03-28 10:33:03,Buy,559.0,2,8857.82,
,2025-03-28 10:52:04,Buy,558.78,3,8299.04,
,2025-03-28 11:07:03,Buy,558.14,4,7740.9,
,2025-03-28 11:50:05,Buy,559.07,5,7181.83,
,2025-03-28 12:24:03,Buy,556.8387,6,6624.99,
