trade #,timestamp,buy/sell,fPrice,position,avgPrice,remaining capital,PnL
,2025-02-14 09:37:02,Buy,610.21,1,610.21,9389.79,
1,2025-02-14 09:59:00,Sell,610.465,0,610.21,10000.26,0.25
,2025-02-14 10:03:02,Buy,610.3701,1,610.37,9389.88,
2,2025-02-14 10:14:01,Sell,610.68,0,610.37,10000.56,0.31
,2025-02-14 10:34:02,Buy,610.17,1,610.17,9390.39,
3,2025-02-14 11:08:03,Sell,610.81,0,610.17,10001.2,0.64
,2025-02-14 11:18:01,Buy,610.11,1,610.11,9391.09,
,2025-02-14 11:22:01,Buy,609.84,2,609.98,8781.25,
,2025-02-14 11:49:03,Buy,609.7,3,609.88,8171.55,
,2025-02-14 12:09:01,Buy,609.64,4,609.82,7561.91,
4,2025-02-14 13:41:02,Sell,610.46,0,609.82,10003.75,2.55
,2025-02-14 15:31:00,Buy,609.78,1,609.78,9393.97,
,2025-02-18 09:41:49,Buy,610.6299,2,610.2,8783.34,
,2025-02-18 09:47:48,Buy,610.0399,3,610.15,8173.31,
,2025-02-18 10:26:51,Buy,609.6,4,610.01,7563.71,
5,2025-02-18 11:03:50,Sell,610.51,0,610.01,10005.75,1.99
,2025-02-18 11:25:50,Buy,609.99,1,609.99,9395.76,
6,2025-02-18 11:57:49,Sell,610.515,0,609.99,10006.27,0.52
,2025-02-18 12:21:49,Buy,609.81,1,609.81,9396.46,
7,2025-02-18 12:51:49,Sell,610.51,0,609.81,10006.97,0.7
,2025-02-18 13:19:51,Buy,609.86,1,609.86,9397.11,
,2025-02-18 13:35:49,Buy,609.71,2,609.79,8787.4,
,2025-02-18 14:04:51,Buy,609.66,3,609.74,8177.74,
,2025-02-18 14:07:49,Buy,608.865,4,609.52,7568.88,
,2025-02-18 14:08:49,Buy,608.88,5,609.4,6960.0,
8,2025-02-18 15:55:48,Sell,610.46,0,609.4,10012.3,5.32
,2025-02-19 09:52:46,Buy,609.94,1,609.94,9402.36,
,2025-02-19 10:19:47,Buy,609.9401,2,609.94,8792.41,
,2025-02-19 10:21:46,Buy,609.87,3,609.92,8182.54,
9,2025-02-19 10:30:47,Sell,610.305,0,609.92,10013.46,1.16
,2025-02-20 09:36:31,Buy,611.34,1,611.34,9402.12,
,2025-02-20 09:45:30,Buy,610.5,2,610.92,8791.62,
,2025-02-20 09:57:30,Buy,609.06,3,610.3,8182.56,
,2025-02-20 10:51:31,Buy,607.6698,4,609.64,7574.89,
,2025-02-20 11:49:32,Buy,607.59,5,609.23,6967.3,
,2025-02-21 09:45:53,Buy,609.32,6,609.25,6357.98,
,2025-02-21 09:50:54,Buy,608.4725,7,609.14,5749.51,
,2025-02-21 10:08:54,Buy,608.1701,8,609.02,5141.34,
,2025-02-21 10:27:54,Buy,606.66,9,608.75,4534.68,
,2025-02-21 11:07:54,Buy,606.76,10,608.55,3927.92,
,2025-02-21 11:55:54,Buy,606.6,11,608.38,3321.32,
,2025-02-21 12:19:57,Buy,605.7,12,608.15,2715.62,
,2025-02-21 12:48:55,Buy,604.81,13,607.9,2110.81,
,2025-02-21 12:57:55,Buy,603.78,14,607.6,1507.03,
,2025-02-21 13:34:57,Buy,602.05,15,607.23,904.98,
,2025-02-21 13:54:56,Buy,602.21,16,606.92,302.77,
10,2025-06-24 13:50:51,Sell,607.035,0,606.92,10015.33,1.87
,2025-06-25 09:42:41,Buy,608.4,1,608.4,9406.93,
,2025-06-25 09:52:41,Buy,607.77,2,608.09,8799.16,
,2025-06-25 10:38:45,Buy,607.729,3,607.97,8191.43,
,2025-06-25 11:20:42,Buy,606.9,4,607.7,7584.53,
,2025-06-25 12:00:42,Buy,607.02,5,607.56,6977.51,
,2025-06-25 12:36:42,Buy,606.81,6,607.44,6370.7,
,2025-06-25 12:50:41,Buy,606.6699,7,607.33,5764.03,
,2025-06-25 13:42:41,Buy,606.12,8,607.18,5157.91,
,2025-06-25 14:27:41,Buy,606.33,9,607.08,4551.58,
,2025-06-25 14:31:43,Buy,606.15,10,606.99,3945.43,
,2025-06-26 09:48:48,Buy,608.875,11,607.16,3336.55,
11,2025-06-26 10:06:49,Sell,609.2107,0,607.16,10037.87,22.54
,2025-06-27 13:46:52,Buy,614.01,1,614.01,9423.86,
,2025-06-27 14:31:52,Buy,612.04,2,613.02,8811.82,
,2025-06-30 09:40:54,Buy,616.6951,3,614.25,8195.13,
,2025-06-30 10:20:53,Buy,616.2793,4,614.76,7578.85,
12,2025-06-30 10:36:54,Sell,616.25,0,614.76,10043.85,5.98
,2025-06-30 10:50:53,Buy,615.995,1,616.0,9427.85,
,2025-06-30 11:24:57,Buy,616.1,2,616.05,8811.75,
13,2025-06-30 12:36:54,Sell,616.695,0,616.05,10045.14,1.3
,2025-06-30 13:32:56,Buy,616.205,1,616.21,9428.94,
,2025-06-30 13:48:56,Buy,616.0787,2,616.14,8812.86,
,2025-06-30 13:58:53,Buy,615.78,3,616.02,8197.08,
,2025-06-30 14:32:54,Buy,615.67,4,615.93,7581.41,
,2025-06-30 14:52:30,Buy,616.26,5,616.0,6965.15,
14,2025-06-30 15:07:55,Sell,617.15,0,616.0,10050.9,5.76
,2025-07-01 10:38:50,Buy,616.845,1,616.85,9434.05,
15,2025-07-01 12:16:49,Sell,617.97,0,616.85,10052.02,1.12
,2025-07-02 09:42:50,Buy,617.27,1,617.27,9434.75,
16,2025-07-02 10:26:49,Sell,618.36,0,617.27,10053.11,1.09
,2025-07-07 09:46:51,Buy,623.145,1,623.14,9429.97,
,2025-07-07 10:38:51,Buy,622.6699,2,622.91,8807.3,
,2025-07-07 10:54:56,Buy,622.28,3,622.7,8185.02,
,2025-07-07 11:14:58,Buy,621.935,4,622.51,7563.08,
,2025-07-07 12:56:50,Buy,619.79,5,621.96,6943.29,
,2025-07-07 13:42:53,Buy,619.925,6,621.62,6323.37,
,2025-07-07 14:16:52,Buy,619.59,7,621.33,5703.78,
,2025-07-07 14:20:51,Buy,618.14,8,620.93,5085.64,
,2025-07-08 09:58:50,Buy,621.06,9,620.95,4464.58,
,2025-07-08 10:00:49,Buy,620.83,10,620.94,3843.75,
,2025-07-08 11:24:54,Buy,619.94,11,620.85,3223.81,
17,2025-07-08 12:24:56,Sell,621.6,0,620.85,10061.41,8.3
,2025-07-09 10:30:39,Buy,622.88,1,622.88,9438.53,
,2025-07-09 10:52:35,Buy,621.44,2,622.16,8817.09,
18,2025-07-09 15:55:34,Sell,624.135,0,622.16,10065.36,3.95
,2025-07-10 09:43:07,Buy,623.74,1,623.74,9441.62,
19,2025-07-10 10:43:07,Sell,624.72,0,623.74,10066.34,0.98
,2025-07-14 09:44:41,Buy,621.94,1,621.94,9444.4,
20,2025-07-14 11:02:38,Sell,623.63,0,621.94,10068.03,1.69
,2025-07-15 09:52:50,Buy,626.36,1,626.36,9441.67,
,2025-07-15 10:36:50,Buy,625.19,2,625.78,8816.48,
,2025-07-15 12:34:56,Buy,624.23,3,625.26,8192.25,
,2025-07-15 12:58:52,Buy,623.25,4,624.76,7569.0,
,2025-07-15 14:54:57,Buy,623.98,5,624.6,6945.02,
,2025-07-15 15:42:50,Buy,623.76,6,624.46,6321.26,
,2025-07-15 15:52:52,Buy,623.155,7,624.27,5698.1,
,2025-07-15 15:58:52,Buy,622.65,8,624.07,5075.45,
,2025-07-16 09:40:16,Buy,623.24,9,623.98,4452.21,
,2025-07-16 10:55:18,Buy,622.275,10,623.81,3829.94,
,2025-07-16 11:19:11,Buy,620.24,11,623.48,3209.7,
21,2025-07-16 14:38:12,Sell,623.705,0,623.48,10070.45,2.43
,2025-07-18 09:53:04,Buy,628.75,1,628.75,9441.7,
22,2025-07-18 10:01:05,Sell,628.9649,0,628.75,10070.67,0.21
,2025-07-18 10:41:04,Buy,627.32,1,627.32,9443.35,
,2025-07-18 11:02:08,Buy,627.16,2,627.24,8816.19,
,2025-07-18 12:23:05,Buy,627.33,3,627.27,8188.86,
,2025-07-18 12:59:10,Buy,626.68,4,627.12,7562.18,
,2025-07-18 13:29:12,Buy,626.94,5,627.09,6935.24,
,2025-07-18 14:11:05,Buy,627.0,6,627.07,6308.24,
,2025-07-18 15:07:05,Buy,627.095,7,627.07,5681.14,
,2025-07-18 15:45:06,Buy,627.0653,8,627.07,5054.08,
23,2025-07-21 10:12:52,Sell,630.68,0,627.07,10099.52,28.85
,2025-07-21 15:15:51,Buy,629.69,1,629.69,9469.83,
,2025-07-21 15:45:53,Buy,628.735,2,629.21,8841.09,
,2025-07-22 09:42:54,Buy,629.015,3,629.15,8212.08,
,2025-07-22 09:50:54,Buy,627.99,4,628.86,7584.09,
,2025-07-22 09:55:00,Buy,627.14,5,628.51,6956.95,
24,2025-07-22 13:30:55,Sell,629.09,0,628.51,10102.4,2.88
,2025-07-23 09:46:48,Buy,630.2299,1,630.23,9472.17,
,2025-07-23 10:23:48,Buy,630.395,2,630.31,8841.77,
25,2025-07-23 11:11:49,Sell,630.705,0,630.31,10103.18,0.79
,2025-07-24 09:42:51,Buy,634.34,1,634.34,9468.84,
26,2025-07-24 10:02:53,Sell,635.08,0,634.34,10103.92,0.74
,2025-07-24 10:16:52,Buy,634.38,1,634.38,9469.54,
27,2025-07-24 11:29:56,Sell,635.525,0,634.38,10105.07,1.14
,2025-07-24 12:37:53,Buy,634.49,1,634.49,9470.58,
,2025-07-24 13:01:55,Buy,634.885,2,634.69,8835.69,
28,2025-07-24 13:29:54,Sell,635.38,0,634.69,10106.45,1.38
,2025-07-25 09:45:13,Buy,635.275,1,635.27,9471.18,
29,2025-07-25 09:55:14,Sell,635.44,0,635.27,10106.62,0.17
,2025-07-28 09:54:53,Buy,637.285,1,637.28,9469.33,
30,2025-07-28 10:04:57,Sell,637.66,0,637.28,10106.99,0.38
,2025-07-28 10:54:55,Buy,637.34,1,637.34,9469.65,
,2025-07-28 11:20:50,Buy,636.365,2,636.85,8833.29,
,2025-07-28 11:48:50,Buy,637.32,3,637.01,8195.97,
,2025-07-28 12:12:50,Buy,637.195,4,637.06,7558.77,
31,2025-07-28 12:20:49,Sell,637.545,0,637.06,10108.95,1.96
,2025-07-28 13:46:50,Buy,636.6951,1,636.7,9472.26,
,2025-07-28 13:48:50,Buy,636.675,2,636.69,8835.58,
,2025-07-28 14:00:53,Buy,636.11,3,636.49,8199.47,
,2025-07-28 14:06:50,Buy,635.74,4,636.31,7563.73,
,2025-07-28 14:46:49,Buy,635.985,5,636.24,6927.75,
,2025-07-28 15:08:50,Buy,635.87,6,636.18,6291.88,
,2025-07-28 15:36:50,Buy,635.96,7,636.15,5655.92,
,2025-07-29 09:46:28,Buy,638.12,8,636.39,5017.8,
,2025-07-29 09:50:33,Buy,637.37,9,636.5,4380.43,
,2025-07-29 10:44:29,Buy,637.2,10,636.57,3743.23,
,2025-07-29 10:54:31,Buy,636.73,11,636.59,3106.5,
,2025-07-29 11:20:36,Buy,636.265,12,636.56,2470.23,
,2025-07-29 11:36:29,Buy,635.48,13,636.48,1834.75,
,2025-07-29 12:40:40,Buy,635.32,14,636.39,1199.43,
,2025-07-29 13:40:35,Buy,635.65,15,636.34,563.78,
32,2025-07-30 12:53:06,Sell,636.52,0,636.34,10111.58,2.63
,2025-07-30 15:51:04,Buy,633.305,1,633.3,9478.28,
,2025-07-31 09:40:47,Buy,638.09,2,635.7,8840.19,
33,2025-07-31 09:56:46,Sell,639.63,0,635.7,10119.45,7.87
,2025-07-31 10:46:46,Buy,637.86,1,637.86,9481.59,
,2025-07-31 13:22:46,Buy,636.11,2,636.99,8845.48,
,2025-07-31 13:52:49,Buy,633.735,3,635.9,8211.74,
,2025-07-31 15:25:03,Buy,633.06,4,635.19,7578.68,
,2025-07-31 15:51:46,Buy,631.33,5,634.42,6947.35,
,2025-08-01 09:44:26,Buy,622.282,6,632.4,6325.07,
,2025-08-01 13:28:27,Buy,620.51,7,630.7,5704.56,
,2025-08-01 14:10:31,Buy,619.895,8,629.35,5084.67,
34,2025-08-04 12:00:51,Sell,630.0206,0,629.35,10124.83,5.38
,2025-08-05 10:26:51,Buy,629.36,1,629.36,9495.47,
,2025-08-05 10:45:06,Buy,627.56,2,628.46,8867.91,
,2025-08-05 11:30:50,Buy,627.92,3,628.28,8239.99,
,2025-08-05 12:46:51,Buy,627.885,4,628.18,7612.11,
,2025-08-05 15:48:52,Buy,628.31,5,628.21,6983.8,
,2025-08-06 09:50:50,Buy,628.75,6,628.3,6355.05,
35,2025-08-06 10:56:50,Sell,630.89,0,628.3,10140.39,15.55
,2025-08-07 09:44:44,Buy,636.2,1,636.2,9504.19,
,2025-08-07 10:14:47,Buy,634.685,2,635.44,8869.5,
,2025-08-07 12:00:44,Buy,631.795,3,634.23,8237.71,
,2025-08-07 12:40:44,Buy,631.4,4,633.52,7606.31,
,2025-08-07 12:44:49,Buy,630.5607,5,632.93,6975.75,
,2025-08-07 13:24:47,Buy,630.94,6,632.6,6344.81,
,2025-08-07 14:12:42,Buy,630.01,7,632.23,5714.8,
36,2025-08-08 10:18:50,Sell,636.16,0,632.23,10167.92,27.53
,2025-08-11 10:44:56,Buy,637.265,1,637.26,9530.65,
,2025-08-11 11:20:54,Buy,637.2799,2,637.27,8893.37,
,2025-08-11 11:28:52,Buy,637.1,3,637.21,8256.27,
37,2025-08-11 11:52:52,Sell,637.605,0,637.21,10169.09,1.17
,2025-08-11 13:42:55,Buy,636.6,1,636.6,9532.49,
,2025-08-11 14:14:55,Buy,636.58,2,636.59,8895.91,
,2025-08-11 14:46:53,Buy,636.125,3,636.44,8259.78,
,2025-08-11 15:16:55,Buy,636.2,4,636.38,7623.58,
,2025-08-11 15:32:54,Buy,636.17,5,636.34,6987.41,
