trade #,timestamp,buy/sell,fPrice,position,avgPrice,remaining capital,PnL
,2025-02-14 09:37:02,Buy,610.21,3,610.21,8169.37,
1,2025-02-14 09:59:00,Sell,610.465,0,610.21,10000.76,0.76
,2025-02-14 10:03:02,Buy,610.3701,3,610.37,8169.65,
2,2025-02-14 10:14:01,Sell,610.68,0,610.37,10001.69,0.93
,2025-02-14 10:34:02,Buy,610.17,3,610.17,8171.18,
3,2025-02-14 11:08:03,Sell,610.81,0,610.17,10003.61,1.92
,2025-02-14 11:18:01,Buy,610.11,3,610.11,8173.28,
4,2025-02-14 13:41:02,Sell,610.46,0,610.11,10004.66,1.05
,2025-02-14 15:31:00,Buy,609.78,3,609.78,8175.32,
5,2025-02-18 11:03:50,Sell,610.51,0,609.78,10006.85,2.19
,2025-02-18 11:25:50,Buy,609.99,3,609.99,8176.88,
6,2025-02-18 11:57:49,Sell,610.515,0,609.99,10008.43,1.58
,2025-02-18 12:21:49,Buy,609.81,3,609.81,8179.0,
7,2025-02-18 12:51:49,Sell,610.51,0,609.81,10010.53,2.1
,2025-02-18 13:19:51,Buy,609.86,3,609.86,8180.95,
8,2025-02-18 15:55:48,Sell,610.46,0,609.86,10012.33,1.8
,2025-02-19 09:52:46,Buy,609.94,3,609.94,8182.51,
9,2025-02-19 10:30:47,Sell,610.305,0,609.94,10013.42,1.09
,2025-02-20 09:36:31,Buy,611.34,3,611.34,8179.4,
,2025-02-20 10:51:31,Buy,607.6698,6,609.5,6356.4,
,2025-02-21 12:48:55,Buy,604.81,12,607.16,2727.54,
10,2025-02-21 13:34:57,Stop-Loss,602.1699,0,607.16,9953.57,-59.85
,2025-02-21 13:54:56,Buy,602.21,3,602.21,8146.94,
,2025-02-24 10:01:40,Buy,597.96,6,600.09,6353.06,
11,2025-02-24 12:21:41,Sell,601.3151,0,600.09,9960.95,7.38
,2025-02-25 09:51:47,Buy,595.3556,3,595.36,8174.89,
,2025-02-25 10:22:47,Buy,592.02,6,593.69,6398.83,
12,2025-02-25 15:23:47,Sell,596.38,0,593.69,9977.11,16.15
,2025-02-26 09:43:47,Buy,595.75,3,595.75,8189.86,
13,2025-02-26 10:19:49,Sell,599.1301,0,595.75,9987.25,10.14
,2025-02-26 13:00:49,Buy,595.6099,3,595.61,8200.42,
14,2025-02-27 09:37:22,Sell,597.555,0,595.61,9993.08,5.84
,2025-02-27 10:02:22,Buy,591.6481,3,591.65,8218.14,
,2025-02-27 15:07:23,Buy,587.94,6,589.79,6454.32,
,2025-02-27 15:55:21,Buy,585.27,12,587.53,2942.7,
15,2025-02-28 10:26:53,Sell,588.05,0,587.53,9999.3,6.22
,2025-02-28 13:17:54,Buy,583.33,3,583.33,8249.31,
16,2025-02-28 15:01:55,Sell,588.14,0,583.33,10013.73,14.43
,2025-03-03 09:40:51,Buy,595.355,3,595.36,8227.66,
,2025-03-03 12:58:52,Buy,591.71,6,593.53,6452.53,
,2025-03-03 13:38:52,Buy,587.67,12,590.6,2926.51,
17,2025-03-03 15:04:54,Stop-Loss,586.424675,0,590.6,9963.61,-50.12
,2025-03-04 09:36:24,Buy,579.4799,3,579.48,8225.17,
