trade #,timestamp,buy/sell,fPrice,position,avgPrice,remaining capital,PnL
,2025-02-14 09:37:02,Buy,610.21,3,610.21,8169.37,
,2025-02-14 09:59:00,Sell (33%),610.465,2,610.21,8779.83,0.25
,2025-02-14 10:14:01,Sell (33%),610.68,1,610.21,9390.51,0.47
1,2025-02-14 10:34:02,Stop-Loss,610.465,0,610.21,10000.98,0.25
,2025-02-14 11:18:01,Buy,610.11,3,610.11,8170.65,
,2025-02-14 13:41:02,Sell (33%),610.46,2,610.11,8781.11,0.35
,2025-02-14 14:01:01,Sell (33%),610.46,1,610.11,9391.57,0.35
2,2025-02-14 14:13:01,Sell (33% - Final),610.675,0,610.11,10002.24,0.57
,2025-02-14 15:31:00,Buy,609.78,3,609.78,8172.9,
,2025-02-18 11:03:50,Sell (33%),610.51,2,609.78,8783.41,0.73
,2025-02-18 11:57:49,Sell (33%),610.515,1,609.78,9393.93,0.74
3,2025-02-18 12:21:49,Stop-Loss,610.51,0,609.78,10004.44,0.73
,2025-02-18 13:19:51,Buy,609.86,3,609.86,8174.86,
,2025-02-18 15:55:48,Sell (33%),610.46,2,609.86,8785.32,0.6
4,2025-02-19 10:02:47,Stop-Loss,609.8599999999999,0,609.86,10005.04,0.0
,2025-02-19 10:19:47,Buy,609.9401,3,609.94,8175.22,
,2025-02-19 10:30:47,Sell (33%),610.305,2,609.94,8785.52,0.36
,2025-02-19 10:32:47,Sell (33%),610.46,1,609.94,9395.98,0.52
5,2025-02-19 11:05:46,Sell (33% - Final),610.69,0,609.94,10006.67,0.75
,2025-02-20 09:36:31,Buy,611.34,3,611.34,8172.65,
,2025-02-20 10:51:31,Buy,607.6698,6,609.5,6349.65,
,2025-02-21 12:48:55,Buy,604.81,12,607.16,2720.79,
6,2025-02-24 10:01:40,Stop-Loss,598.05008825,0,607.16,9897.39,-109.29
,2025-02-25 09:51:47,Buy,595.3556,3,595.36,8111.32,
,2025-02-25 10:22:47,Buy,592.02,6,593.69,6335.26,
,2025-02-25 15:23:47,Sell (33%),596.38,4,593.69,7528.02,5.38
,2025-02-26 09:50:48,Sell (33%),597.13,2,593.69,8722.28,6.88
7,2025-02-26 10:19:49,Sell (33% - Final),599.1301,0,593.69,9920.54,10.88
,2025-02-26 13:00:49,Buy,595.6099,3,595.61,8133.71,
,2025-02-27 09:37:22,Sell (33%),597.555,2,595.61,8731.27,1.95
8,2025-02-27 10:02:22,Stop-Loss,595.6099000000002,0,595.61,9922.48,0.0
,2025-02-27 14:25:22,Buy,591.665,3,591.66,8147.49,
,2025-02-27 15:07:23,Buy,587.94,6,589.8,6383.67,
,2025-02-27 15:55:21,Buy,585.27,12,587.54,2872.05,
,2025-02-28 10:26:53,Sell (33%),588.05,8,587.54,5224.25,2.05
,2025-02-28 10:51:53,Sell (33%),588.23,4,587.54,7577.17,2.78
9,2025-02-28 10:59:55,Sell (33% - Final),588.86,0,587.54,9932.61,5.3
,2025-02-28 13:17:54,Buy,583.33,3,583.33,8182.62,
,2025-02-28 15:01:55,Sell (33%),588.14,2,583.33,8770.76,4.81
,2025-02-28 15:56:53,Sell (33%),593.59,1,583.33,9364.35,10.26
10,2025-03-03 13:38:52,Stop-Loss,588.14,0,583.33,9952.49,4.81
,2025-03-03 14:30:52,Buy,588.97,3,588.97,8185.58,
,2025-03-03 15:04:54,Buy,584.36,6,586.66,6432.5,
,2025-03-04 09:36:24,Buy,579.4799,12,583.07,2955.62,
11,2025-03-04 11:10:24,Stop-Loss,574.32636325,0,583.07,9847.54,-104.95
,2025-03-04 11:28:24,Buy,572.701,3,572.7,8129.43,
,2025-03-04 13:54:27,Sell (33%),579.7,2,572.7,8709.13,7.0
,2025-03-04 14:04:26,Sell (33%),581.535,1,572.7,9290.67,8.83
12,2025-03-04 14:19:27,Sell (33% - Final),581.735,0,572.7,9872.4,9.03
,2025-03-05 11:11:58,Buy,574.16,3,574.16,8149.92,
,2025-03-05 12:37:58,Sell (33%),578.935,2,574.16,8728.86,4.77
,2025-03-05 12:55:00,Sell (33%),580.46,1,574.16,9309.32,6.3
13,2025-03-05 13:58:58,Sell (33% - Final),581.31,0,574.16,9890.63,7.15
,2025-03-06 09:37:35,Buy,574.66,3,574.66,8166.65,
,2025-03-06 10:22:37,Sell (33%),578.7,2,574.66,8745.35,4.04
,2025-03-06 11:13:35,Sell (33%),579.548,1,574.66,9324.9,4.89
14,2025-03-06 12:02:36,Stop-Loss,578.7,0,574.66,9903.6,4.04
,2025-03-06 12:25:36,Buy,573.175,3,573.17,8184.07,
,2025-03-07 09:58:46,Sell (33%),574.24,2,573.17,8758.31,1.07
15,2025-03-07 11:21:46,Stop-Loss,573.175,0,573.17,9904.66,0.0
,2025-03-07 11:52:46,Buy,565.83,3,565.83,8207.17,
,2025-03-07 13:21:48,Sell (33%),573.25,2,565.83,8780.42,7.42
,2025-03-07 14:02:46,Sell (33%),576.14,1,565.83,9356.56,10.31
16,2025-03-07 14:31:46,Sell (33% - Final),576.77,0,565.83,9933.33,10.94
,2025-03-10 12:06:29,Buy,563.86,3,563.86,8241.75,
,2025-03-10 13:52:29,Buy,560.37,6,562.12,6560.64,
,2025-03-10 14:56:28,Buy,557.54,12,559.83,3215.4,
,2025-03-11 14:44:29,Sell (33%),560.72,8,559.83,5458.28,3.57
17,2025-03-12 10:25:50,Stop-Loss,559.8275000000001,0,559.83,9936.9,0.0
,2025-03-12 10:56:50,Buy,556.45,3,556.45,8267.55,
,2025-03-12 11:49:51,Sell (33%),558.62,2,556.45,8826.17,2.17
,2025-03-12 12:15:52,Sell (33%),560.13,1,556.45,9386.3,3.68
18,2025-03-12 12:34:49,Sell (33% - Final),561.09,0,556.45,9947.39,4.64
,2025-03-13 11:36:47,Buy,553.15,3,553.15,8287.94,
,2025-03-13 13:38:47,Buy,550.355,6,551.75,6636.88,
,2025-03-14 09:50:23,Sell (33%),559.2876,4,551.75,7755.45,15.07
,2025-03-14 10:58:22,Sell (33%),559.5865,2,551.75,8874.63,15.67
19,2025-03-14 11:13:21,Sell (33% - Final),560.155,0,551.75,9994.94,16.8
,2025-03-17 11:35:10,Buy,563.22,3,563.22,8305.28,
,2025-03-17 13:27:09,Sell (33%),565.94,2,563.22,8871.22,2.72
,2025-03-17 14:14:09,Sell (33%),568.37,1,563.22,9439.59,5.15
20,2025-03-17 14:31:10,Sell (33% - Final),568.95,0,563.22,10008.54,5.73
,2025-03-18 10:15:47,Buy,560.49,3,560.49,8327.07,
,2025-03-19 09:48:47,Sell (33%),563.2,2,560.49,8890.27,2.71
,2025-03-19 10:23:45,Sell (33%),565.0,1,560.49,9455.27,4.51
21,2025-03-19 11:35:47,Sell (33% - Final),564.6054,0,560.49,10019.87,4.12
,2025-03-20 13:28:57,Buy,564.76,3,564.76,8325.59,
,2025-03-21 10:04:33,Buy,559.4,6,562.08,6647.39,
,2025-03-21 12:53:31,Sell (33%),562.79,4,562.08,7772.97,1.42
,2025-03-21 13:45:32,Sell (33%),563.16,2,562.08,8899.29,2.16
22,2025-03-21 15:51:33,Sell (33% - Final),563.1,0,562.08,10025.49,2.04
,2025-03-25 09:44:51,Buy,574.78,3,574.78,8301.15,
,2025-03-25 10:23:47,Sell (33%),575.41,2,574.78,8876.56,0.63
,2025-03-25 10:28:48,Sell (33%),575.497,1,574.78,9452.06,0.72
23,2025-03-25 10:50:48,Sell (33% - Final),576.05,0,574.78,10028.11,1.27
,2025-03-25 12:07:48,Buy,574.6801,3,574.68,8304.07,
,2025-03-26 09:39:53,Sell (33%),575.81,2,574.68,8879.88,1.13
24,2025-03-26 09:59:53,Stop-Loss,574.6801,0,574.68,10029.24,0.0
,2025-03-26 10:18:51,Buy,573.65,3,573.65,8308.29,
,2025-03-26 12:53:51,Buy,570.0632,6,571.86,6598.1,
,2025-03-26 14:48:52,Buy,567.34,12,569.6,3194.06,
,2025-03-27 10:46:03,Sell (33%),570.37,8,569.6,5475.54,3.09
25,2025-03-27 12:21:02,Stop-Loss,569.5982999999999,0,569.6,10032.32,0.0
,2025-03-28 10:14:03,Buy,561.38,3,561.38,8348.18,
,2025-03-28 11:07:03,Buy,558.14,6,559.76,6673.76,
,2025-03-28 13:40:06,Buy,555.75,12,557.75,3339.26,
26,2025-03-31 09:38:48,Stop-Loss,549.388675,0,557.75,9931.93,-100.4
