Metric,Value
Initial Capital,"$10,000.00"
Final Portfolio Value,"$10,928.21"
Total P&L,$928.21
Return (%),9.28
Total Trading Days,207
Days with Zero Position at End,94
Days with Position at End,113
Days with Position Crossing to Next Day,111
Total Trades Executed,148
Winning Trades,111
Losing Trades,37
Win Rate (%),75.0
Stop-Loss Triggered,59
Stop-Loss Rate (%),39.9
Average P&L per Trade,$6.27
Average Winning Trade,$5.45
Average Losing Trade,$-17.95
Average Stop-Loss Trade,$-10.13
Total Cross-Day Trades,83
Cross-Day Wins,61
Cross-Day Losses,22
Cross-Day Win Rate (%),73.5
Cross-Day Total P&L,$-106.64
Min Trades per Day,1
Max Trades per Day,8
Average Trades per Day,2.78
Days with No Trades,64
Days with No Trades (%),30.9
Total Days,207
Winning Days,134
Winning Days (%),64.7
Losing Days,8
Losing Days (%),3.9
Zero P&L Days,65
Zero P&L Days (%),31.4
Min Winning Day P&L,$0.05
Max Winning Day P&L,$137.67
Mean Winning Day P&L,$11.20
Median Winning Day P&L,$5.63
Min Losing Day P&L,$-122.06
Max Losing Day P&L,$-24.25
Mean Losing Day P&L,$-71.37
Median Losing Day P&L,$-68.56
Big Losing Days (Loss > $50),5
